136.4783,-11.5167,-3.3483,0.4033,28.8059,0
137.9450,-10.8920,-3.4215,0.4035,28.5830,0
139.4266,-10.2714,-3.4926,0.4033,28.9407,0
140.7369,-9.7088,-3.5495,0.4062,26.0800,0
141.7271,-9.2623,-3.5983,0.4070,19.6698,0
142.7609,-8.8064,-3.6502,0.4068,20.1580,0
143.8558,-8.3549,-3.7107,0.4062,22.0048,0
144.8932,-7.8986,-3.7596,0.4060,21.8385,0
145.9274,-7.4352,-3.8134,0.4071,22.0789,0
147.0344,-6.9421,-3.8672,0.4255,21.7257,0
148.1513,-6.4136,-3.9226,0.4886,21.6145,0
149.1149,-5.8576,-3.9649,0.5430,21.5480,0
150.0069,-5.2974,-4.0153,0.5800,21.4490,0
151.0080,-4.6344,-4.0641,0.6443,21.7398,0
151.9114,-3.8901,-4.1140,0.6981,21.3012,0
152.8051,-3.1181,-4.1556,0.7326,22.1569,0
153.6086,-2.3496,-4.1980,0.8007,21.6515,0
154.4017,-1.4719,-4.2361,0.8641,22.0768,0
155.1267,-0.5668,-4.2720,0.9353,21.7544,0
155.7632,0.3764,-4.3027,1.0145,21.5674,0
156.3669,1.3901,-4.3324,1.0637,21.9014,0
156.9488,2.4327,-4.3538,1.0921,21.8223,0
157.4695,3.5434,-4.3805,1.1454,23.4951,0
157.9792,4.7671,-4.4051,1.1895,24.9894,0
158.5152,6.0940,-4.4213,1.1949,26.2879,0
159.0751,7.5347,-4.4551,1.1957,27.2819,0
159.6449,9.0149,-4.4787,1.1954,28.6964,0
160.2217,10.5054,-4.5049,1.1957,29.0627,0
160.7877,11.9456,-4.5314,1.1955,28.5717,0
161.3448,13.3535,-4.5680,1.1958,28.5472,0
161.8871,14.7434,-4.6019,1.1954,28.5758,0
162.4553,16.1993,-4.6366,1.1957,29.0088,0
163.0267,17.6751,-4.6659,1.1958,28.9248,0
163.6099,19.1516,-4.7095,1.1959,28.7296,0
164.1493,20.5619,-4.7458,1.1958,28.3196,0
164.7022,21.9909,-4.7857,1.1962,28.7394,0
165.2040,23.2910,-4.8192,1.1962,26.2735,0
165.6839,24.4898,-4.8577,1.1964,23.3717,0
166.0878,25.5382,-4.8898,1.1964,21.0733,0
166.7551,27.2515,-4.9415,1.1968,17.1172,0
167.4216,29.0284,-4.9856,1.2316,17.5279,0
167.7570,30.0067,-5.0102,1.2442,18.3457,0
168.0918,31.0066,-5.0436,1.2888,19.5775,0
168.3371,32.0431,-5.0675,1.3317,19.0809,0
168.5687,33.0305,-5.0886,1.3347,18.8251,0
168.8563,34.1405,-5.1086,1.3181,20.0416,0
169.1157,35.1143,-5.1357,1.3185,18.8038,0
169.5527,36.8846,-5.1884,1.3102,16.9997,0
169.9633,38.1562,-5.2255,1.2366,8.5585,0
170.4902,39.3491,-5.2722,1.0069,8.4019,0
171.3706,40.3971,-5.3424,0.6965,8.6187,0
172.6272,41.1982,-5.4300,0.3600,10.1774,0
173.6602,41.4585,-5.5017,0.1235,10.0599,0
174.7388,41.5013,-5.5762,-0.1109,9.9258,0
176.0279,41.2441,-5.6583,-0.2847,12.7567,0
177.3757,40.7979,-5.7537,-0.3881,13.4086,0
178.8856,40.1726,-5.8563,-0.3863,14.2107,0
180.6240,39.5077,-5.9757,-0.3215,17.8666,0
181.5789,39.2086,-6.0356,-0.2845,18.1348,0
183.6469,38.6178,-6.1856,-0.2793,21.7845,0
184.9536,38.2475,-6.2784,-0.2799,25.1318,0
186.4097,37.8528,-6.3792,-0.2798,28.0571,0
187.8255,37.4613,-6.4742,-0.2802,29.4407,0
189.3714,37.0055,-6.5883,-0.2808,28.5132,0
190.8857,36.5707,-6.7003,-0.2807,28.5738,0
192.4132,36.1403,-6.8092,-0.2802,28.7763,0
193.9501,35.6990,-6.9242,-0.2798,28.7116,0
195.4243,35.2949,-7.0418,-0.2802,29.0488,0
196.9318,34.8597,-7.1509,-0.2796,29.1880,0
198.3653,34.4469,-7.2662,-0.2795,28.6498,0
199.8622,34.0199,-7.3845,-0.2798,28.5274,0
201.3935,33.6030,-7.5070,-0.2795,28.9420,0
202.8223,33.2104,-7.6234,-0.2790,28.4605,0
204.3724,32.7754,-7.7502,-0.2785,28.7825,0
205.8553,32.3452,-7.8672,-0.2791,29.0329,0
207.3813,31.9106,-8.0009,-0.2789,28.0995,0
208.8176,31.5239,-8.1206,-0.2787,27.9808,0
210.0744,31.1218,-8.2351,-0.2787,24.0818,0
211.0708,30.8388,-8.3111,-0.2776,18.8824,0
212.0225,30.5310,-8.3955,-0.2788,18.0686,0
213.7304,30.0833,-8.5422,-0.3239,16.0294,0
215.1431,29.6281,-8.6674,-0.3577,13.7272,0
216.0941,29.2205,-8.7429,-0.4019,6.3780,0
